date, modeltype, features, dataset, thetime, cv_score, macro_prec, macro_recall, macro_f1, params, 
f1_macro2019-09-14_21_54_41, LogisticRegression, x_topo_feats, ,21,0.003,0.003,0.01,0.003, C-1_max_iter-100_multi_class-ovr_penalty-l2_solver-newton-cg_, 
f1_macro2019-09-14_23_07_23, LogisticRegression, x_topo_feats, ,46,0.003,0.003,0.009,0.003, C-1_max_iter-100_multi_class-ovr_penalty-l2_solver-newton-cg_, 
f1_macro2019-09-15_03_08_27, LogisticRegression, x_topo_feats, ,30,0.003,0.003,0.01,0.003, C-1_max_iter-100_multi_class-ovr_penalty-l2_solver-newton-cg_, 
f1_macro2019-09-15_07_01_24, LogisticRegression, x_topo_feats, ,17,0.003,0.003,0.01,0.003, C-1_max_iter-100_multi_class-ovr_penalty-l2_solver-newton-cg_, 
macroF1_2019-09-13_02_56_09, 3_GGNN1, graph, , ,0.004,0.003,0.042,0.006, aggr_type-mean_d1-30_d2-100_num_classes-24_num_layers-2_batch_size-32_learning_rate-0.01_, 
macroF1_2019-09-13_05_30_00, 3_GGNN1, graph, , ,0.004,0.003,0.042,0.006, aggr_type-mean_d1-30_d2-50_num_classes-24_num_layers-2_batch_size-32_learning_rate-0.01_, 
macroF1_2019-09-13_10_28_34, 3_GGNN1, graph, , ,0.009,0.003,0.042,0.006, aggr_type-mean_d1-30_d2-100_num_classes-24_num_layers-2_batch_size-32_learning_rate-0.01_, 
macroF1_2019-09-13_16_40_39, 3_GGNN1, graph, , ,0.012,0.003,0.042,0.006, aggr_type-mean_d1-30_d2-50_num_classes-24_num_layers-2_batch_size-32_learning_rate-0.01_, 
macroF1_2019-09-14_07_07_29, 3_GGNN1, graph, ./tmp/symbols_dataset_3_precomp_split_undersample_max/,11975,0.018,0.003,0.042,0.006, aggr_type-mean_d1-30_d2-50_num_classes-24_num_layers-2_batch_size-32_learning_rate-0.01_, 
macroF1_2019-09-14_08_13_14, 3_GGNN1, graph, ./tmp/symbols_dataset_3_precomp_split_undersample_max/,3937,0.018,0.008,0.042,0.006, aggr_type-mean_d1-30_d2-50_num_classes-24_num_layers-2_batch_size-32_learning_rate-0.01_, 
macroF1_2019-09-13_21_05_03, 3_GGNN1, graph, , ,0.009,0.004,0.042,0.007, aggr_type-mean_d1-30_d2-100_num_classes-24_num_layers-2_batch_size-32_learning_rate-0.01_, 
f1_macro2019-09-14_23_07_37, LogisticRegression, x_topo_feats, ,11,0.011,0.062,0.044,0.009, C-1_max_iter-100_multi_class-ovr_penalty-l2_solver-newton-cg_, 
macroF1_2019-09-15_07_58_54, 3_GGNN1, graph, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,2620,0.011,0.018,0.044,0.01, aggr_type-mean_d1-60_d2-20_num_classes-24_num_layers-2_batch_size-32_learning_rate-0.01_, 
macroF1_2019-09-15_11_11_52, 3_GGNN1, graph, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,4418,0.009,0.007,0.043,0.011, aggr_type-mean_d1-70_d2-10_num_classes-24_num_layers-2_batch_size-32_learning_rate-0.01_, 
macroF1_2019-09-15_07_01_02, 3_GGNN1, graph, ./tmp/symbols_dataset_3_precomp_split_undersample_max_half/,4431,0.011,0.007,0.043,0.011, aggr_type-mean_d1-70_d2-20_num_classes-24_num_layers-2_batch_size-32_learning_rate-0.01_, 
macroF1_2019-09-15_05_40_30, 3_GGNN1, graph, ./tmp/symbols_dataset_3_precomp_split_undersample_max_third/,1252,0.016,0.007,0.043,0.011, aggr_type-mean_d1-60_d2-20_num_classes-24_num_layers-2_batch_size-32_learning_rate-0.01_, 
f1_macro2019-09-14_23_07_49, LogisticRegression, x_topo_feats, ,9,0.016,0.074,0.04,0.013, C-1_max_iter-100_multi_class-ovr_penalty-l2_solver-newton-cg_, 
f1_macro2019-09-15_01_39_46, LogisticRegression, x_topo_feats, ,6,0.016,0.074,0.04,0.013, C-1_max_iter-100_multi_class-ovr_penalty-l2_solver-newton-cg_, 
f1_macro2019-09-15_05_41_56, RandomForestClassifier, x_topo_feats, ,2,0.014,0.021,0.019,0.015, max_depth-8_n_estimators-16_, 
f1_macro2019-09-15_03_01_56, RandomForestClassifier, x_topo_feats, ,2,0.013,0.023,0.02,0.016, max_depth-8_n_estimators-16_, 
f1_macro2019-09-15_03_02_03, RandomForestClassifier, x_topo_feats, ,1,0.015,0.018,0.021,0.016, max_depth-8_n_estimators-16_, 
f1_macro2019-09-15_05_42_02, RandomForestClassifier, x_topo_feats, ,1,0.014,0.023,0.023,0.019, max_depth-8_n_estimators-16_, 
macroF1_2019-09-13_13_25_12, 3_GGNN1, graph, , ,0.009,0.015,0.056,0.02, aggr_type-mean_d1-30_d2-50_num_classes-24_num_layers-2_batch_size-32_learning_rate-0.01_, 
macroF1_2019-09-13_00_32_39, 3_GGNN1, graph, , ,0.004,0.016,0.062,0.024, aggr_type-mean_d1-30_d2-50_num_classes-24_num_layers-2_batch_size-32_learning_rate-0.01_, 
macroF1_2019-09-13_08_12_01, 3_GGNN1, graph, , ,0.016,0.023,0.059,0.024, aggr_type-mean_d1-30_d2-50_num_classes-24_num_layers-2_batch_size-32_learning_rate-0.01_, 
f1_macro2019-09-15_03_28_05, XGBClassifier, x_topo_feats, ,258,0.023,0.03,0.025,0.024, booster-gbtree_max_depth-8_, 
f1_macro2019-09-15_09_20_58, XGBClassifier, x_topo_feats, ,229,0.023,0.03,0.025,0.024, booster-gbtree_max_depth-8_, 
f1_macro2019-09-15_09_35_21, RandomForestClassifier, x_topo_feats, ,1,0.018,0.028,0.027,0.025, max_depth-150_n_estimators-4_, 
macroF1_2019-09-13_00_41_23, 3_GGNN1_tfidf, graph, , ,0.015,0.02,0.055,0.026, aggr_type-mean_d1-30_d2-85_d3-24_num_classes-24_num_layers-2_batch_size-32_learning_rate-0.01_, 
f1_macro2019-09-15_01_37_19, XGBClassifier, x_topo_feats, ,120,0.019,0.043,0.027,0.027, booster-gbtree_max_depth-8_, 
f1_macro2019-09-15_09_33_44, XGBClassifier, x_topo_feats, ,119,0.019,0.043,0.027,0.027, booster-gbtree_max_depth-8_, 
f1_macro2019-09-15_02_56_15, RandomForestClassifier, x_topo_feats, ,4,0.023,0.033,0.028,0.029, max_depth-150_n_estimators-16_, 
macroF1_2019-09-13_00_51_57, 3_GGNN1_tfidf, graph, , ,0.011,0.026,0.058,0.031, aggr_type-mean_d1-30_d2-85_d3-24_num_classes-24_num_layers-2_batch_size-32_learning_rate-0.01_, 
f1_macro2019-09-15_05_00_06, RandomForestClassifier, x_topo_feats, ,3,0.026,0.034,0.035,0.032, max_depth-150_n_estimators-16_, 
f1_macro2019-09-15_03_16_03, mlp2, topo and code feats, ,114,0.224,0.033,0.04,0.032, d1-17_d2-20_d3-15_num_classes-171_, 
macroF1_2019-09-13_00_54_56, 3_GGNN1_tfidf, graph, , ,0.019,0.03,0.052,0.033, aggr_type-mean_d1-30_d2-86_d3-24_num_classes-24_num_layers-2_batch_size-32_learning_rate-0.01_, 
f1_macro2019-09-15_03_07_54, RandomForestClassifier, topo and code feats, ,1,0.037,0.044,0.035,0.034, max_depth-8_n_estimators-4_, 
f1_macro2019-09-15_07_01_05, RandomForestClassifier, topo and code feats, ,1,0.032,0.046,0.037,0.037, max_depth-8_n_estimators-4_, 
f1_macro2019-09-15_07_08_16, mlp2, topo and code feats, ,101,0.239,0.05,0.044,0.04, d1-17_d2-20_d3-15_num_classes-171_, 
f1_macro2019-09-15_03_28_12, RandomForestClassifier, tfidf and topo feats, ,1,0.052,0.06,0.041,0.041, clf__max_depth-8_clf__n_estimators-4_, 
f1_macro2019-09-15_11_13_02, RandomForestClassifier, topo and code feats, ,1,0.05,0.049,0.047,0.044, max_depth-150_n_estimators-4_, 
f1_macro2019-09-15_09_24_31, mlp2, tfidf and topo feats, ,31,0.3,0.057,0.047,0.044, d1-96_d2-20_d3-15_num_classes-171_, 
f1_macro2019-09-14_23_06_26, LogisticRegression, x_topo_feats, ,4,0.054,0.054,0.101,0.047, C-1_max_iter-100_multi_class-ovr_penalty-l2_solver-newton-cg_, 
f1_macro2019-09-15_04_51_08, RandomForestClassifier, tfidf and topo feats, ,4,0.052,0.089,0.049,0.049, clf__max_depth-8_clf__n_estimators-16_, 
f1_macro2019-09-15_09_21_02, RandomForestClassifier, tfidf and topo feats, ,1,0.055,0.067,0.056,0.051, clf__max_depth-8_clf__n_estimators-4_, 
