date, modeltype, features, dataset, thetime, cv_score, macro_prec, macro_recall, macro_f1, params, ,
precision_micro2019-08-18_00_30_15, RandomForestClassifier, document and topo feats, ,384,0.429,0.502,0.455,0.444, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-18_03_20_09, RandomForestClassifier, document_simplified and topo and code feats, ,382,0.434,0.502,0.452,0.443, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-18_01_43_08, RandomForestClassifier, document and code feats, ,383,0.426,0.494,0.447,0.44, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-18_01_43_08, RandomForestClassifier, document and code feats, ,383,0.43,0.491,0.446,0.439, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-17_22_53_02, RandomForestClassifier, document, ,382,0.434,0.503,0.443,0.438, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-18_02_31_40, RandomForestClassifier, document_simplified and list_funcs and code feats, ,383,0.426,0.502,0.447,0.437, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-18_02_55_55, RandomForestClassifier, document and topo and code feats, ,382,0.428,0.495,0.443,0.436, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-17_23_41_37, RandomForestClassifier, document and list funcs, ,384,0.432,0.496,0.443,0.435, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-18_02_07_24, RandomForestClassifier, document_simplified and code feats, ,383,0.427,0.491,0.443,0.435, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-17_23_17_19, RandomForestClassifier, document_simplified, ,383,0.433,0.484,0.444,0.434, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-18_01_18_51, RandomForestClassifier, document_simplified and list_funcs and topo feats, ,383,0.431,0.489,0.443,0.434, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-18_02_31_40, RandomForestClassifier, document_simplified and list_funcs and code feats, ,383,0.431,0.488,0.443,0.434, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-18_03_44_24, RandomForestClassifier, document_simplified and list_funcs and topo and code feats, ,382,0.426,0.496,0.442,0.433, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-18_02_31_40, RandomForestClassifier, document_simplified and list_funcs and code feats, ,382,0.424,0.483,0.443,0.433, clf__max_depth-8_clf__n_estimators-50_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-18_01_18_51, RandomForestClassifier, document_simplified and list_funcs and topo feats, ,383,0.429,0.488,0.439,0.432, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-18_03_20_09, RandomForestClassifier, document_simplified and topo and code feats, ,382,0.427,0.488,0.441,0.431, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-18_01_43_08, RandomForestClassifier, document and code feats, ,383,0.428,0.488,0.437,0.43, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-18_00_05_56, RandomForestClassifier, document_simplified and list funcs, ,383,0.427,0.479,0.438,0.43, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-17_23_41_37, RandomForestClassifier, document and list funcs, ,384,0.425,0.498,0.439,0.43, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-17_22_53_02, RandomForestClassifier, document, ,383,0.427,0.486,0.441,0.429, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
f1_micro2019-08-17_23_17_19, RandomForestClassifier, document_simplified, ,383,0.425,0.485,0.438,0.429, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-100_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
precision_micro2019-08-18_00_54_34, RandomForestClassifier, document_simplified and topo feats, ,383,0.425,0.499,0.438,0.429, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
recall_micro2019-08-18_00_05_56, RandomForestClassifier, document_simplified and list funcs, ,383,0.43,0.489,0.439,0.428, clf__max_depth-8_clf__n_estimators-100_tvec__max_df-0.8_tvec__max_features-2000_tvec__min_df-0.1_tvec__ngram_range-[1, 2]_, 
